Sig_day,Sig_time,Validated,Val_day,Val_time,Label,is_covid,Method,Person,Start_time,sig_day_time,val_day_time
27/10/2020,03:00:00,yes,27/10/2020,08:22:00,Topic 67b,no,epitweetr,EI expert 1,08:15:00,27/10/2020 03:00,27/10/2020 08:22
04/11/2020,06:00:00,yes,04/11/2020,15:07:00,Topic 67b,no,epitweetr,EI expert 2,15:00:00,04/11/2020 06:00,04/11/2020 15:07
04/11/2020,06:00:00,yes,04/11/2020,15:07:00,Topic 67b,no,epitweetr,EI expert 2,15:00:00,04/11/2020 06:00,04/11/2020 15:07
04/11/2020,23:00:00,yes,05/11/2020,09:11:00,Topic 67c,no,epitweetr,EI expert 2,08:55:00,04/11/2020 23:00,05/11/2020 09:11
25/11/2020,07:00:00,yes,25/11/2020,14:09:00,Topic 67d,no,epitweetr,EI expert 1,14:00:00,25/11/2020 07:00,25/11/2020 14:09
25/11/2020,07:00:00,yes,25/11/2020,14:09:00,Topic 67d,no,epitweetr,EI expert 1,14:00:00,25/11/2020 07:00,25/11/2020 14:09
25/11/2020,07:00:00,yes,25/11/2020,14:09:00,Topic 67d,no,epitweetr,EI expert 1,14:00:00,25/11/2020 07:00,25/11/2020 14:09
26/11/2020,21:00:00,yes,27/11/2020,09:09:00,Topic 67d,no,epitweetr,EI expert 1,08:55:00,26/11/2020 21:00,27/11/2020 09:09
26/11/2020,21:00:00,yes,27/11/2020,09:09:00,Topic 67d,no,epitweetr,EI expert 1,08:55:00,26/11/2020 21:00,27/11/2020 09:09
26/11/2020,21:00:00,yes,27/11/2020,09:09:00,Topic 67d,no,epitweetr,EI expert 1,08:55:00,26/11/2020 21:00,27/11/2020 09:09
26/11/2020,21:00:00,yes,27/11/2020,09:09:00,Topic 67d,no,epitweetr,EI expert 1,08:55:00,26/11/2020 21:00,27/11/2020 09:09
24/11/2020,00:00:00,yes,24/11/2020,09:25:00,Topic 67e,no,epitweetr,EI expert 1,09:00:00,24/11/2020 00:00,24/11/2020 09:25
25/11/2020,07:00:00,yes,25/11/2020,14:11:00,Topic 67e,no,epitweetr,EI expert 1,14:00:00,25/11/2020 07:00,25/11/2020 14:11
19/11/2020,11:00:00,no,19/11/2020,16:09:00,Topic 67e,no,epitweetr,EI expert 2,16:00:00,19/11/2020 11:00,19/11/2020 16:09
21/10/2020,10:00:00,no,21/10/2020,15:49:00,Topic 68a,no,epitweetr,EI expert 1,15:45:00,21/10/2020 10:00,21/10/2020 15:49
21/10/2020,11:00:00,no,21/10/2020,15:49:00,Topic 68a,no,epitweetr,EI expert 1,15:45:00,21/10/2020 11:00,21/10/2020 15:49
21/10/2020,11:00:00,no,21/10/2020,15:49:00,Topic 68a,no,epitweetr,EI expert 1,15:45:00,21/10/2020 11:00,21/10/2020 15:49
21/10/2020,11:00:00,no,21/10/2020,15:49:00,Topic 68a,no,epitweetr,EI expert 1,15:45:00,21/10/2020 11:00,21/10/2020 15:49
21/10/2020,11:00:00,no,21/10/2020,15:49:00,Topic 68a,no,epitweetr,EI expert 1,15:45:00,21/10/2020 11:00,21/10/2020 15:49
21/10/2020,04:00:00,no,21/10/2020,15:49:00,Topic 68a,no,epitweetr,EI expert 1,15:45:00,21/10/2020 04:00,21/10/2020 15:49
03/11/2020,08:40:00,yes,03/11/2020,10:18:00,Topic 68b,no,Twitter,EI expert 2,09:45:00,03/11/2020 08:40,03/11/2020 10:18
21/10/2020,11:00:00,yes,21/10/2020,15:53:00,Topic 68c,no,epitweetr,EI expert 1,15:45:00,21/10/2020 11:00,21/10/2020 15:53
02/11/2020,17:00:00,no,02/11/2020,12:10:00,Topic 68d,no,epitweetr,EI expert 2,12:00:00,02/11/2020 17:00,02/11/2020 12:10
02/11/2020,12:00:00,no,02/11/2020,16:30:00,Topic 68d,no,epitweetr,EI expert 2,16:20:00,02/11/2020 12:00,02/11/2020 16:30
16/11/2020,06:30:00,yes,16/11/2020,09:12:00,Topic 69,no,Twitter,EI expert 2,09:05:00,16/11/2020 06:30,16/11/2020 09:12
12/11/2020,11:00:00,yes,12/11/2020,16:33:00,Topic 70a,no,epitweetr,EI expert 2,16:30:00,12/11/2020 11:00,12/11/2020 16:33
03/11/2020,06:00:00,yes,03/11/2020,15:01:00,Topic 70b,no,epitweetr,EI expert 2,15:00:00,03/11/2020 06:00,03/11/2020 15:01
03/11/2020,20:00:00,yes,04/11/2020,09:33:00,Topic 70b,no,epitweetr,EI expert 2,09:30:00,03/11/2020 20:00,04/11/2020 09:33
03/11/2020,20:00:00,yes,04/11/2020,09:33:00,Topic 70b,no,epitweetr,EI expert 2,09:30:00,03/11/2020 20:00,04/11/2020 09:33
04/11/2020,06:00:00,yes,04/11/2020,15:03:00,Topic 70b,no,epitweetr,EI expert 2,15:00:00,04/11/2020 06:00,04/11/2020 15:03
10/11/2020,18:00:00,no,11/11/2020,10:38:00,Topic 71,no,epitweetr,EI expert 2,10:30:00,10/11/2020 18:00,11/11/2020 10:38
10/11/2020,18:00:00,no,11/11/2020,10:38:00,Topic 71,no,epitweetr,EI expert 2,10:30:00,10/11/2020 18:00,11/11/2020 10:38
10/11/2020,18:00:00,no,11/11/2020,10:38:00,Topic 71,no,epitweetr,EI expert 2,10:30:00,10/11/2020 18:00,11/11/2020 10:38
10/11/2020,18:00:00,no,11/11/2020,10:38:00,Topic 71,no,epitweetr,EI expert 2,10:30:00,10/11/2020 18:00,11/11/2020 10:38
11/11/2020,11:00:00,yes,11/11/2020,16:06:00,Topic 71,no,epitweetr,EI expert 2,16:00:00,11/11/2020 11:00,11/11/2020 16:06
11/11/2020,11:00:00,yes,11/11/2020,16:06:00,Topic 71,no,epitweetr,EI expert 2,16:00:00,11/11/2020 11:00,11/11/2020 16:06
11/11/2020,11:00:00,yes,11/11/2020,16:06:00,Topic 71,no,epitweetr,EI expert 2,16:00:00,11/11/2020 11:00,11/11/2020 16:06
11/11/2020,11:00:00,yes,11/11/2020,16:06:00,Topic 71,no,epitweetr,EI expert 2,16:00:00,11/11/2020 11:00,11/11/2020 16:06
